TARGET,ID,COMPANY,SALARY,JOBTIME
1,0,HyperNet,51653,3.06602638741
1,1,Embeedo,262736,1.62075803088
1,2,SpeakTown,283304,3.64204264431
1,3,Embeedo,5071,4.07656176165
1,4,ThoseGuys,280585,0.504654727702
1,5,HyperNet,114543,4.13410077546
1,6,SpeakTown,169928,1.79366760132
1,7,HyperNet,173191,2.17271656058
1,8,HyperNet,130822,4.39626878499
1,9,HyperNet,262520,2.28850981205
1,10,Embeedo,34591,4.9653457218
1,11,SpeakTown,198996,4.24522186723
1,12,Breaxit,247789,0.867571057359
1,13,HyperNet,163338,2.87009465336
1,14,Embeedo,21362,3.01381669752
1,15,Breaxit,231209,1.81049604126
1,16,Breaxit,181180,4.93131669194
1,17,SpeakTown,216191,2.42184142507
1,18,ThoseGuys,75614,3.75451193401
1,19,SpeakTown,252512,4.42943058202
1,20,ThoseGuys,272736,2.69804072087
1,21,SpeakTown,128673,4.25101731277
0,22,SpeakTown,18547,2.74715580955
1,23,ThoseGuys,54541,3.68148622189
0,24,Breaxit,85807,0.455577321147
1,25,HyperNet,110276,3.7157741368
1,26,Embeedo,158974,1.98712035715
0,27,Breaxit,3149,1.58855000011
1,28,Embeedo,249939,1.85544228547
1,29,Embeedo,184118,2.52755241717
1,30,ThoseGuys,231029,2.41096834314
1,31,SpeakTown,168113,0.701148018886
1,32,HyperNet,159358,3.71846359637
1,33,Breaxit,295047,1.61154247085
1,34,Embeedo,295033,0.432823871095
1,35,SpeakTown,297146,4.5854740749
1,36,ThoseGuys,138906,3.56464572584
1,37,ThoseGuys,236748,2.21714576786
1,38,HyperNet,98544,0.898837096472
1,39,Embeedo,48365,4.60768829443
1,40,Breaxit,75780,2.91494132759
1,41,SpeakTown,124693,1.83607202595
1,42,Breaxit,252245,1.26251633189
1,43,SpeakTown,197931,2.27666877406
0,44,SpeakTown,9966,2.60270693728
1,45,Breaxit,278996,4.54421677707
1,46,Embeedo,142102,4.3532823685
1,47,Embeedo,234143,3.83466278931
1,48,Breaxit,261921,0.646941641902
0,49,ThoseGuys,116910,0.219580714836
0,50,SpeakTown,9960,0.364570877916
1,51,Breaxit,130434,3.95554020159
0,52,HyperNet,89670,0.673504608601
1,53,Embeedo,141000,1.04087946323
1,54,Breaxit,151952,1.85056499729
1,55,ThoseGuys,253040,1.20824048254
1,56,ThoseGuys,222830,1.64715650208
1,57,Breaxit,202535,1.27509273385
1,58,Embeedo,287051,3.28369398858
1,59,ThoseGuys,222502,1.91116571622
1,60,Breaxit,289710,0.847324463034
1,61,HyperNet,179348,3.92764817296
1,62,Breaxit,285565,1.04031065518
0,63,Breaxit,8593,0.748945312231
1,64,HyperNet,227177,2.38761637234
0,65,Embeedo,28511,0.738743155158
1,66,Embeedo,252809,3.43219418103
1,67,ThoseGuys,282573,0.830885055732
1,68,Embeedo,206659,4.79115968912
1,69,SpeakTown,207868,3.6498869475
1,70,Breaxit,179169,4.02890949391
1,71,HyperNet,244678,1.82600466171
1,72,ThoseGuys,224441,1.93915514088
1,73,Breaxit,99536,0.805804609365
1,74,HyperNet,181451,3.668759154
1,75,SpeakTown,65601,1.00516335763
1,76,Breaxit,244647,0.694394919582
1,77,Embeedo,207924,3.20552897465
1,78,ThoseGuys,49483,4.668031156
1,79,HyperNet,198942,2.91750933696
1,80,HyperNet,233891,2.04367383269
1,81,HyperNet,196769,2.10762343453
1,82,Embeedo,122474,0.304597510715
1,83,Breaxit,169104,1.34988835878
1,84,ThoseGuys,260659,4.8138404102
1,85,Breaxit,143169,3.05381030613
1,86,Embeedo,150490,0.501134268726
0,87,Embeedo,4330,0.123080292693
1,88,HyperNet,210390,1.79219992006
1,89,Embeedo,265549,4.34733837874
1,90,Breaxit,63312,1.85920150317
1,91,Embeedo,85193,2.76927382017
1,92,Embeedo,160691,4.70719020798
1,93,SpeakTown,12649,3.08693206501
1,94,SpeakTown,82947,2.87219847485
1,95,SpeakTown,218071,1.66794199611
1,96,ThoseGuys,143519,3.55921659444
1,97,HyperNet,282096,4.8838502707
1,98,ThoseGuys,249749,3.59187520132
1,99,ThoseGuys,206093,2.4352459545
1,100,HyperNet,175143,2.4978298433
1,101,HyperNet,224072,1.15556251418
0,102,Breaxit,47202,2.21003698644
1,103,Embeedo,108359,2.40762855218
1,104,SpeakTown,118719,1.35970476442
1,105,SpeakTown,188333,3.43050935449
1,106,Embeedo,268664,1.66952388799
1,107,Breaxit,73686,4.34824080722
1,108,Breaxit,251529,3.50945320913
1,109,HyperNet,20897,3.56592976057
1,110,Breaxit,127645,4.99067664904
0,111,Breaxit,13102,2.32290073179
1,112,SpeakTown,243927,0.780402362162
0,113,Embeedo,7588,0.461753358652
1,114,Breaxit,234917,2.04942000485
1,115,ThoseGuys,31664,4.09900379374
1,116,SpeakTown,117164,4.66451993604
1,117,Embeedo,77402,4.90510343889
0,118,HyperNet,48785,1.57340864684
1,119,Embeedo,298500,1.23225727944
1,120,Embeedo,40525,4.09486102131
1,121,SpeakTown,265137,4.85450887166
1,122,SpeakTown,246650,1.68752673136
1,123,SpeakTown,140480,1.03329306778
0,124,HyperNet,114603,0.0773914774937
1,125,HyperNet,154450,3.05173077162
1,126,SpeakTown,222914,4.61562347757
0,127,SpeakTown,25997,2.50164982666
0,128,SpeakTown,49473,0.873062318741
